hour_of_year,insolation,temperature,wind,rainfall
1220,0,19.392,,
1221,0,18.385,,
1222,0,17.365,,
1223,0,16.594,,
1224,0,16.121,,
1225,7,15.949,,
1226,190,18.731,,
1227,447,22.315,,
1228,671,25.201,,
1229,813,27.351,,
1230,879,28.948,,
1231,807,29.832,,
1232,593,29.916,,
1233,487,29.737,,
1234,321,29.173,,
1235,86,27.931,,
1236,9,26.167,,
1237,0,23.972,,
1238,0,22.664,,
1239,0,21.551,,
1240,0,20.577,,
1241,0,19.743,,
1242,0,18.898,,
1243,0,18.044,,
1244,0,17.247,,
1245,0,16.544,,
1246,0,15.916,,
1247,0,15.358,,
1248,0,14.851,,
1249,4,14.629,,
1250,131,17.023,,
1251,381,20.671,,
1252,621,23.631,,
1253,797,25.72,,
1254,881,27.314,,
1255,848,28.319,,
1256,748,28.725,,
1257,666,28.665,,
1258,471,27.922,,
1259,169,26.447,,
1260,22,23.521,,
1261,0,21.02,,
1262,0,20.383,,
1263,0,19.471,,
1264,0,17.534,,
1265,0,16.589,,
1266,0,16.127,,
1267,0,15.923,,
1268,0,15.063,,
1269,0,13.743,,
1270,0,12.754,,
1271,0,12.41,,
1272,0,12.941,,
1273,4,13.008,,
1274,145,14.984,,
1275,368,18.738,,
1276,666,22.852,,
1277,868,25.64,,
1278,955,27.712,,
1279,969,29.256,,
1280,919,30.238,,
1281,735,30.358,,
1282,506,29.77,,
1283,264,28.357,,
1284,19,24.13,,
1285,0,21.727,,
1286,0,20.73,,
1287,0,19.443,,
1288,0,18.385,,
1289,0,16.096,,
1290,0,16.264,,
1291,0,15.956,,
1292,0,15.789,,
1293,0,15.399,,
1294,0,15.445,,
1295,0,15.603,,
1296,0,15.923,,
1297,1,16.066,,
1298,35,18.012,,
1299,220,21.327,,
1300,481,24.711,,
1301,825,27.38,,
1302,938,29.339,,
1303,951,30.466,,
1304,878,30.915,,
1305,724,30.664,,
1306,509,29.801,,
1307,250,28.328,,
1308,40,24.754,,
1309,0,21.095,,
1310,0,19.89,,
1311,0,18.95,,
1312,0,18.146,,
1313,0,17.368,,
1314,0,16.592,,
1315,0,15.848,,
1316,0,15.119,,
1317,0,14.382,,
1318,0,13.833,,
1319,0,13.497,,
1320,0,13.331,,
1321,9,13.524,,
1322,198,17.252,,
1323,464,21.378,,
1324,697,25.33,,
1325,868,27.297,,
1326,979,28.707,,
1327,986,29.588,,
1328,909,29.97,,
1329,749,29.81,,
1330,528,29.101,,
1331,256,27.812,,
1332,40,23.983,,
1333,0,21.035,,
1334,0,20.814,,
1335,0,21.059,,
1336,0,21.145,,
1337,0,20.728,,
1338,0,19.734,,
1339,0,18.73,,
1340,0,17.665,,
1341,0,17.061,,
1342,0,16.412,,
1343,0,15.715,,
1344,0,15.139,,
1345,3,14.924,,
1346,71,16.898,,
1347,246,19.014,,
1348,539,22.496,,
1349,717,24.801,,
